filename,psnr_ssim,psnr_edge,ssim_ssim,ssim_edge,mae_ssim,mae_edge,mse_ssim,mse_edge,grad_mae_ssim,grad_mae_edge,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000623.npy,22.56484249933496,22.58183796094817,0.5755250482030959,0.5706095454050885,0.0548073910176754,0.054740577936172485,0.005540076643228531,0.005518438760191202,0.4478962,0.44683686,0.016995461613209528,-0.004915502798007454,-6.681308150291443e-05,-2.163788303732872e-05,-0.0010593534
000627.npy,10.502453498304426,10.571427215551028,0.24849154332207313,0.24411506904700636,0.24105408787727356,0.23999769985675812,0.0890747606754303,0.08767126500606537,1.6268474,1.6067615,0.0689737172466014,-0.004376474275066766,-0.001056388020515442,-0.0014034956693649292,-0.02008593
000640.npy,25.710523350376747,25.70113746562415,0.6723386923833308,0.6709781600549396,0.03665129840373993,0.03671983256936073,0.0026850206777453423,0.00269083003513515,0.28817365,0.28588948,-0.009385884752596496,-0.001360532328391173,6.853416562080383e-05,5.809357389807701e-06,-0.0022841692
000641.npy,20.463947340406282,20.47204256169918,0.26239222864130696,0.2597797689221519,0.0749807357788086,0.07494354993104935,0.008986803703010082,0.008970067836344242,0.6353653,0.63508123,0.008095221292897747,-0.0026124597191550802,-3.7185847759246826e-05,-1.673586666584015e-05,-0.00028407574
000646.npy,24.883855478291025,24.876736243608665,0.6020242874994101,0.5991843228719095,0.0427703931927681,0.042810697108507156,0.003247988410294056,0.0032533169724047184,0.337507,0.33724314,-0.007119234682360087,-0.0028399646275005797,4.030391573905945e-05,5.32856211066246e-06,-0.00026386976
000648.npy,23.698433652432765,23.695575645711497,0.7470714007506855,0.7441431592224166,0.049179140478372574,0.049242619425058365,0.004267334006726742,0.004270143341273069,0.42353022,0.4233033,-0.00285800672126868,-0.002928241528268871,6.347894668579102e-05,2.809334546327591e-06,-0.00022691488
000659.npy,22.050211826282595,22.1148508181897,0.739725529288464,0.743323520329942,0.05385633930563927,0.05327164754271507,0.006237043999135494,0.006144901737570763,0.41848022,0.4120361,0.0646389919071062,0.003597991041477955,-0.0005846917629241943,-9.21422615647316e-05,-0.0064441264
000663.npy,29.902637661577366,30.066725433469298,0.6654666931193639,0.6713908488660502,0.024092337116599083,0.02373591437935829,0.0010226716985926032,0.0009847533656284213,0.16767764,0.16420059,0.16408777189193202,0.005924155746686255,-0.0003564227372407913,-3.79183329641819e-05,-0.0034770519
000683.npy,27.47462237445231,27.481802745050977,0.8607381415429562,0.8625279911484626,0.025585629045963287,0.025582004338502884,0.0017887011636048555,0.0017857460770756006,0.19365537,0.1919263,0.007180370598668162,0.0017898496055063218,-3.6247074604034424e-06,-2.9550865292549133e-06,-0.0017290711
000698.npy,29.088664017716148,29.193677159551935,0.7831559674092531,0.7871879161988496,0.023480236530303955,0.023157820105552673,0.0012334841303527355,0.0012040160363540053,0.15368962,0.15138859,0.10501314183578714,0.004031948789596562,-0.00032241642475128174,-2.9468093998730183e-05,-0.0023010373
000702.npy,26.861046416487774,26.859903447379008,0.4917297841888666,0.4840936390374303,0.0347391739487648,0.034765467047691345,0.002060133498162031,0.002060675760731101,0.2660931,0.2667611,-0.001142969108766323,-0.007636145151436291,2.629309892654419e-05,5.422625690698624e-07,0.00066798925
000709.npy,34.748781929967116,34.69952563069289,0.9239228556592465,0.9225014357616454,0.010461965575814247,0.010497894138097763,0.0003350594197399914,0.00033888116013258696,0.07480884,0.07422597,-0.04925629927422648,-0.0014214198976010284,3.592856228351593e-05,3.8217403925955296e-06,-0.0005828738
000747.npy,32.798798572927325,32.82471967961907,0.7180562179939747,0.7191215262634754,0.017658531665802002,0.01760890893638134,0.0005249526584520936,0.0005218287697061896,0.109009564,0.10785205,0.025921106691747298,0.0010653082695006866,-4.9622729420661926e-05,-3.123888745903969e-06,-0.0011575148
000763.npy,23.1784183124768,23.201733738639586,0.28997983317201026,0.2883907976394801,0.05490715801715851,0.05477965250611305,0.004810145124793053,0.004784390330314636,0.39739484,0.39611784,0.023315426162785258,-0.0015890355325301475,-0.00012750551104545593,-2.5754794478416443e-05,-0.0012769997
000766.npy,27.798637930029997,27.8379379118471,0.793237661119691,0.7940047630454748,0.022354213520884514,0.0222244281321764,0.0016601074021309614,0.0016451526898890734,0.1814733,0.17943083,0.039299981817102037,0.0007671019257838863,-0.00012978538870811462,-1.4954712241888046e-05,-0.0020424724
000769.npy,30.530417208424552,30.556325242774747,0.7705553914362173,0.770810465578286,0.020345211029052734,0.020231856033205986,0.000885030603967607,0.0008797665941528976,0.15169555,0.15083286,0.025908034350194953,0.00025507414206871193,-0.00011335499584674835,-5.264009814709425e-06,-0.0008626878
000775.npy,30.427431962492154,30.553192345835285,0.8059170016037859,0.8115787857297957,0.020228976383805275,0.019901050254702568,0.0009062683093361557,0.0008804014651104808,0.1425411,0.13865685,0.1257603833431311,0.005661784126009817,-0.0003279261291027069,-2.5866844225674868e-05,-0.003884241
000779.npy,21.201105353764092,21.21102747301158,0.3534770607447082,0.3558794079968896,0.06700161099433899,0.06691677123308182,0.007583844941109419,0.007566538639366627,0.5209043,0.5197329,0.00992211924748787,0.0024023472521814138,-8.483976125717163e-05,-1.730630174279213e-05,-0.0011714101
000791.npy,34.8942301871605,34.92231656309594,0.9162821861672401,0.915864303747952,0.011229465715587139,0.011259541846811771,0.0003240238584112376,0.0003219351056031883,0.07010625,0.06918061,0.028086375935437502,-0.0004178824192880848,3.0076131224632263e-05,-2.088752808049321e-06,-0.00092564523
000795.npy,27.20051401772259,27.215172013681702,0.687059632323727,0.6852231566197872,0.033132173120975494,0.03307371959090233,0.0019052352290600538,0.0018988156225532293,0.28010747,0.2795517,0.014657995959112213,-0.001836475703939855,-5.8453530073165894e-05,-6.419606506824493e-06,-0.0005557537
