filename,psnr_champ,psnr_adv,ssim_champ,ssim_adv,mae_champ,mae_adv,mse_champ,mse_adv,grad_mae_champ,grad_mae_adv,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000161.npy,29.607994239973326,29.523514493389385,0.8787390788527131,0.8774090175562501,0.023555640131235123,0.023814808577299118,0.001094461651518941,0.0011159598361700773,0.17736971,0.17965776,-0.0844797465839413,-0.0013300612964629588,0.00025916844606399536,2.14981846511364e-05,0.0022880435
000186.npy,30.715810894465335,30.682161068593253,0.8804247571213544,0.8779908261146545,0.019766144454479218,0.019993772730231285,0.0008480449905619025,0.0008546413155272603,0.14450164,0.14291108,-0.03364982587208232,-0.002433931006699863,0.00022762827575206757,6.5963249653577805e-06,-0.0015905648
000189.npy,24.07360959473784,23.92122674617965,0.7363582065021489,0.728793829625214,0.040557049214839935,0.041376881301403046,0.003914164379239082,0.0040539405308663845,0.34177798,0.347156,-0.15238284855819018,-0.007564376876934897,0.0008198320865631104,0.00013977615162730217,0.005378008
000197.npy,27.561958227881796,27.592398828572566,0.7551727970023323,0.7557406411311067,0.03277476131916046,0.03281649947166443,0.0017530896002426744,0.0017408451531082392,0.23431627,0.2323735,0.03044060069077048,0.0005678441287744196,4.1738152503967285e-05,-1.2244447134435177e-05,-0.0019427687
000200.npy,26.51438137839634,26.61096886239209,0.3694396907373592,0.3684327201606445,0.03663545846939087,0.036308653652668,0.0022313203662633896,0.0021822431590408087,0.2797943,0.27761117,0.09658748399575146,-0.0010069705767147274,-0.0003268048167228699,-4.907720722258091e-05,-0.0021831393
000201.npy,30.864837085421883,31.249426373743106,0.6914769308392853,0.7071460812876821,0.020918484777212143,0.020197667181491852,0.0008194383699446917,0.0007499932544305921,0.13871329,0.13023916,0.38458928832122297,0.015669150448396785,-0.0007208175957202911,-6.94451155140996e-05,-0.008474126
000202.npy,31.54194163891912,31.95672422872361,0.7264459256103327,0.7409056993003488,0.019313793629407883,0.018577029928565025,0.0007011417765170336,0.0006372760399244726,0.12634313,0.11877259,0.41478258980448857,0.014459773690016053,-0.0007367637008428574,-6.3865736592561e-05,-0.0075705424
000206.npy,20.84404716957057,20.858594711872215,0.681525195033083,0.680694992265037,0.06385286897420883,0.0638645738363266,0.00823370460420847,0.008206170052289963,0.5252336,0.5223559,0.014547542301645677,-0.0008302027680459068,1.1704862117767334e-05,-2.7534551918506622e-05,-0.0028777122
000241.npy,32.559462397043745,33.07370696405438,0.9207964866362587,0.9361109428855366,0.016840290278196335,0.013807295821607113,0.000554694386664778,0.0004927529953420162,0.067680575,0.059346937,0.5142445670106355,0.015314456249277963,-0.003032994456589222,-6.194139132276177e-05,-0.008333638
000253.npy,28.7301539946643,28.605882390712274,0.8263089210532156,0.8302693126356215,0.02142169326543808,0.021373316645622253,0.0013396291760727763,0.0013785158516839147,0.13485095,0.13063097,-0.12427160395202463,0.003960391582405909,-4.8376619815826416e-05,3.8886675611138344e-05,-0.004219979
000262.npy,27.14480054232766,27.120289489508394,0.804725246683646,0.8038725707474063,0.025762544944882393,0.02584630809724331,0.001929833902977407,0.0019407563377171755,0.21523899,0.21402395,-0.024511052819264023,-0.0008526759362397218,8.376315236091614e-05,1.0922434739768505e-05,-0.0012150407
000293.npy,25.79020805220308,25.811807841235602,0.32785359843877704,0.3188247703384757,0.04088699072599411,0.0408448800444603,0.002636205404996872,0.0026231263764202595,0.3103444,0.31003013,0.021599789032521244,-0.009028828100301312,-4.2110681533813477e-05,-1.3079028576612473e-05,-0.0003142655
000317.npy,23.534443638955963,23.50687302184134,0.5592267416968504,0.5654821527656497,0.04436570778489113,0.04414650797843933,0.004431549459695816,0.0044597722589969635,0.3301471,0.32490495,-0.027570617114623275,0.006255411068799344,-0.00021919980645179749,2.822279930114746e-05,-0.005242139
000330.npy,28.036833954100672,28.087669687645942,0.8009117975943089,0.812688621083498,0.02688656747341156,0.02657000720500946,0.001571508008055389,0.001553220208734274,0.23815098,0.23604429,0.050835733545270045,0.011776823489189181,-0.0003165602684020996,-1.8287799321115017e-05,-0.0021066964
000337.npy,34.83862729906216,35.27496692440743,0.9105030098939836,0.9202592670240403,0.012389819137752056,0.011970381252467632,0.00032819900661706924,0.00029682694002985954,0.08414692,0.07680139,0.43633962534526916,0.009756257130056678,-0.00041943788528442383,-3.13720665872097e-05,-0.0073455274
000378.npy,21.22489041247136,21.22817149163735,0.6956268352704551,0.693641624388006,0.05827636271715164,0.05836455523967743,0.007542423903942108,0.007536728400737047,0.4711489,0.46926093,0.003281079165990519,-0.0019852108824490733,8.819252252578735e-05,-5.695503205060959e-06,-0.0018879771
000379.npy,21.16313796536536,21.1858861310629,0.7129528870880101,0.714466202513311,0.05728651210665703,0.05767647549510002,0.0076504359021782875,0.0076104686595499516,0.45551658,0.4513535,0.022748165697539235,0.0015133154253009762,0.00038996338844299316,-3.996724262833595e-05,-0.0041630864
000391.npy,33.81641960322948,33.74152670195274,0.8818224960378408,0.8802526833699942,0.01265425980091095,0.012786324135959148,0.00041529626469127834,0.0004225200682412833,0.09621559,0.09548693,-0.07489290127673343,-0.001569812667846615,0.0001320643350481987,7.223803550004959e-06,-0.00072865933
000392.npy,29.682028356034202,29.851021316825705,0.8393734862478971,0.8504209297516943,0.020540058612823486,0.019889971241354942,0.0010759626748040318,0.0010348986834287643,0.16168435,0.15488505,0.1689929607915026,0.01104744350379716,-0.000650087371468544,-4.1063991375267506e-05,-0.0067992955
000397.npy,25.118077249972124,25.13879970336154,0.32863323316976545,0.3289275622697603,0.04408073425292969,0.04394257068634033,0.003077459055930376,0.003062809817492962,0.29290685,0.29038167,0.02072245338941414,0.0002943290999948278,-0.00013816356658935547,-1.464923843741417e-05,-0.0025251806
000400.npy,30.88514098740636,31.390130013064763,0.8976262571263314,0.909511546935916,0.018648598343133926,0.01752474531531334,0.0008156163385137916,0.0007260841666720808,0.10492006,0.095609635,0.5049890256584035,0.011885289809584587,-0.0011238530278205872,-8.95321718417108e-05,-0.009310424
